ID,Occupant,Address,City,State,ZipCode,FIPS,Phone,Publisher,Year
200527421,,611|FENN ST,PITTSFIELD,MA,1201,25003,4134420444,InfoGroup,2005
200527449,CENTER FOR ECOLOGICAL TECH,112|ELM ST,PITTSFIELD,MA,1201,25003,4134454556,InfoGroup,2005
200527492,PARISEAU HEATING COOLING,78|JEFFERSON PL,PITTSFIELD,MA,1201,25003,4134428516,InfoGroup,2005
200527385,FAMILY PRACTICE ASSOC,20|ELM ST,PITTSFIELD,MA,1201,25003,4134421019,InfoGroup,2005
200527529,,261|SOUTH ST,PITTSFIELD,MA,1201,25003,4134436654,InfoGroup,2005
200527543,CURLY-Q BEAUTY SALON,14|LARCH ST,PITTSFIELD,MA,1201,25003,4134421321,InfoGroup,2005
200527578,PROFESSIONAL REFRIGERATION,1138|BARKER RD,PITTSFIELD,MA,1201,25003,4134454946,InfoGroup,2005
200527694,AMERICAN LEGION,41|WENDELL AVE,PITTSFIELD,MA,1201,25003,4134439853,InfoGroup,2005
200527610,DEPARTMENT OF COMMUNITY DEV,70|ALLEN ST,PITTSFIELD,MA,1201,25003,4134999366,InfoGroup,2005
200527640,FAIRWEATHER COOLING & HEATING,4|SUNRISE ST,PITTSFIELD,MA,1201,25003,4134482013,InfoGroup,2005
200527763,SOUTH STREET CAR WASH,1050|SOUTH ST,PITTSFIELD,MA,1201,25003,4134421217,InfoGroup,2005
200527821,,212|SOUTH ST,PITTSFIELD,MA,1201,25003,4134996499,InfoGroup,2005
200527705,PITTSFIELD PARKING CLERK,70|ALLEN ST,PITTSFIELD,MA,1201,25003,4134999431,InfoGroup,2005
200527843,JET TYPING,360|CLOVERDALE ST,PITTSFIELD,MA,1201,25003,4134430625,InfoGroup,2005
200527908,DALTON APARTMENTS,51|1/2 APRIL LN,PITTSFIELD,MA,1201,25003,4134479809,InfoGroup,2005
200527797,SACRED HEART CATHOLIC CHURCH,191|ELM ST,PITTSFIELD,MA,1201,25003,4134436960,InfoGroup,2005
200527862,PIRES PACKAGE & VARIETY STORE,18|ALCOVE ST,PITTSFIELD,MA,1201,25003,4134479436,InfoGroup,2005
200527995,CARCHEDI REALTY,230|4H ST,PITTSFIELD,MA,1201,25003,4134993210,InfoGroup,2005
200528069,BERKSHIRE UROLOGICAL ASSOC,777|NORTH ST,PITTSFIELD,MA,1201,25003,4134992300,InfoGroup,2005
200527946,HBS STEREO SYSTEMS,237|1T ST,PITTSFIELD,MA,1201,25003,4134433434,InfoGroup,2005
200528101,OAK HILLS APARTMENTS,467|CRANE AVE,PITTSFIELD,MA,1201,25003,4134994099,InfoGroup,2005
200528137,SUITE 4 HAIR TECHNICIANS,1450|EAST ST,PITTSFIELD,MA,1201,25003,4134995515,InfoGroup,2005
200528035,A G EDWARDS & SONS INC,2|SOUTH ST,PITTSFIELD,MA,1201,25003,4134434931,InfoGroup,2005
200528054,VIRGILIO CONSTRUCTION CO INC,40|COMMERCIAL ST,PITTSFIELD,MA,1201,25003,4134479755,InfoGroup,2005
200528231,BERKSHIRENET INTERNET SOLUTION,126|FENN ST,PITTSFIELD,MA,1201,25003,4135369000,InfoGroup,2005
200528310,MICHAEL RENZI PAINTING CO,81|GAMWELL AVE,PITTSFIELD,MA,1201,25003,4134434253,InfoGroup,2005
200528327,SPECIAL OLYMPICS MASSACHUSETTS,1450|EAST ST,PITTSFIELD,MA,1201,25003,4132366970,InfoGroup,2005
200528110,ROYAL PLATING & POLISHING CO,740|CRANE AVE,PITTSFIELD,MA,1201,25003,4134434441,InfoGroup,2005
200528173,MERRILL LYNCH,100|NORTH ST,PITTSFIELD,MA,1201,25003,4133950300,InfoGroup,2005
200528284,,222|SOUTH ST,PITTSFIELD,MA,1201,25003,4134420010,InfoGroup,2005
200528447,LABOR & WORKFORCE DEVELOPMENT,333|EAST ST,PITTSFIELD,MA,1201,25003,4134488746,InfoGroup,2005
200528499,BERKSHIRE ROOFING & INSULATION,400|WAHCONAH ST,PITTSFIELD,MA,1201,25003,4134433100,InfoGroup,2005
200528547,WHEELER & TAYLOR INC,402|EAST ST,PITTSFIELD,MA,1201,25003,4134488224,InfoGroup,2005
200528371,CHICOPEE CONSTRUCTION CORP,659|DALTON DIVISION RD,PITTSFIELD,MA,1201,25003,4134437744,InfoGroup,2005
200528414,BERKSHIRE SUPERIOR COURT,76|EAST ST,PITTSFIELD,MA,1201,25003,4134997487,InfoGroup,2005
200528691,APPLEBEE'S NEIGHBORHOOD GRILL,555|HUBBARD AVE,PITTSFIELD,MA,1201,25003,4134995157,InfoGroup,2005
200528717,COUNTRY WOOD FLOORS,82|CLARENDON ST,PITTSFIELD,MA,1201,25003,4134454677,InfoGroup,2005
200528527,,740|WILLIAMS ST,PITTSFIELD,MA,1201,25003,4134993671,InfoGroup,2005
200528711,TULLY ENTERPRISES INC,815|NORTH ST,PITTSFIELD,MA,1201,25003,4134429110,InfoGroup,2005
200528780,BEN & JERRY'S,179|SOUTH ST,PITTSFIELD,MA,1201,25003,4134482250,InfoGroup,2005
200528594,CARDAN CONSTRUCTION INC,607|FENN ST,PITTSFIELD,MA,1201,25003,4134990149,InfoGroup,2005
200528645,BERKSHIRE GAS CO,115|CHESHIRE RD,PITTSFIELD,MA,1201,25003,4134421511,InfoGroup,2005
200528847,NOTRE DAME CONVENT,2|DICKINSON AVE,PITTSFIELD,MA,1201,25003,4134425021,InfoGroup,2005
200528925,DRESS BARN,555|HUBBARD AVE,PITTSFIELD,MA,1201,25003,4132431525,InfoGroup,2005
200528747,SOUTH CONGREGATIONAL CHURCH,110|SOUTH ST,PITTSFIELD,MA,1201,25003,4134427357,InfoGroup,2005
200528954,PITTSFIELD HEALTH FOOD CTR,407|NORTH ST,PITTSFIELD,MA,1201,25003,4134425662,InfoGroup,2005
200529029,CUMBERLAND FARMS,885|DALTON AVE,PITTSFIELD,MA,1201,25003,4134969774,InfoGroup,2005
200528802,BERKSHIRE ORAL SURGERY ASSOC,192|MOUNTAIN DR,PITTSFIELD,MA,1201,25003,4134994540,InfoGroup,2005
